,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
289,Alliance Judy Ivie Burton Technology Academy High,1,1,43.0,39.0,42220,17542,0.0672898076425023,0.32936218303392745,0.08523061709792103,0.018293974995879734
290,Alliance Cindy and Bill Simon Technology Academy High,1,1,28.0,27.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
291,Alliance Cindy and Bill Simon Technology Academy High,1,1,19.0,18.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
292,Alliance Morgan McKinzie High,1,1,18.0,17.0,50913,13873,0.06426682936750051,0.29100206281414337,0.1383828699264941,0.027949678956390365
293,Alain Leroy Locke College Preparatory Academy,1,1,19.0,18.0,47468,7527,0.06614699331848552,0.2923162583518931,0.14660356347438752,0.026002227171492205
294,Alliance Cindy and Bill Simon Technology Academy High,1,1,6.0,6.0,44839,10453,0.044144067071605786,0.3213277440328514,0.12203781332877064,0.025964582085721617
295,Alliance Renee and Meyer Luskin Academy High,1,1,20.0,17.0,56285,17740,0.022569549212479632,0.26446804658741174,0.2571661336069036,0.10114054673827771
296,Alliance Ted K. Tajima High,1,1,32.0,30.0,67435,26807,0.04025279533300924,0.17213417598444336,0.33263976665046185,0.13925133689839572
297,Alliance Tennenbaum Family Technology High,1,1,12.0,11.0,76080,16244,0.03673209056910098,0.21244890267590524,0.3078015829298698,0.1369843156582495
298,Contreras Learning Center-Los Angeles School of Global Studies,1,0,10.0,6.0,36870,11938,0.056173262370237655,0.1954471201981346,0.26526848290035304,0.11197765716393529
299,Animo Jackie Robinson High,1,1,51.0,47.0,30530,12248,0.06442844198578855,0.21941914254375508,0.21603319185464256,0.10372454575802376
300,Animo Pat Brown,1,1,36.0,33.0,48011,13689,0.06671522214129644,0.2924107793153678,0.09829570284049527,0.01235251274581209
301,Animo Ralph Bunche Charter High,1,1,23.0,23.0,44616,24827,0.08090855566917667,0.2588546992655945,0.08705958910476899,0.01868550711164823
302,APEX Academy,1,1,5.0,4.0,50253,17114,0.037035580892471005,0.1691763318262237,0.4253194417141734,0.13162964419107528
